taxon_species,taxon_class,taxon_genus,taxon_family,taxon_order,Adult mass (g),Maximum longevity (years)
Echinops telfairi,Mammalia,Echinops,Tenrecidae,,180,19
Hemicentetes semispinosus,Mammalia,Hemicentetes,Tenrecidae,,180,2.7
Nesogale dobsoni,Mammalia,Nesogale,Tenrecidae,,37.8,5.6
Nesogale talazaci,Mammalia,Nesogale,Tenrecidae,,50,5.8
Setifer setosus,Mammalia,Setifer,Tenrecidae,,225,14.1
Tenrec ecaudatus,Mammalia,Tenrec,Tenrecidae,,900,8.7
Antilocapra americana,Mammalia,Antilocapra,Antilocapridae,Artiodactyla,46100,17
Addax nasomaculatus,Mammalia,Addax,Bovidae,Artiodactyla,92500,28
Aepyceros melampus,Mammalia,Aepyceros,Bovidae,Artiodactyla,52500,25.6
Alcelaphus buselaphus,Mammalia,Alcelaphus,Bovidae,Artiodactyla,159000,22.5
Ammotragus lervia,Mammalia,Ammotragus,Bovidae,Artiodactyla,92500,21.7
Antidorcas marsupialis,Mammalia,Antidorcas,Bovidae,Artiodactyla,39000,19.8
Antilope cervicapra,Mammalia,Antilope,Bovidae,Artiodactyla,37500,23.9
Bison bison,Mammalia,Bison,Bovidae,Artiodactyla,630000,33.5
Bison bonasus,Mammalia,Bison,Bovidae,Artiodactyla,610000,26.4
Bos frontalis,Mammalia,Bos,Bovidae,Artiodactyla,825000,26.2
Bos grunniens,Mammalia,Bos,Bovidae,Artiodactyla,667000,26.3
Bos javanicus,Mammalia,Bos,Bovidae,Artiodactyla,700000,27.1
Bos taurus,Mammalia,Bos,Bovidae,Artiodactyla,750000,20
Boselaphus tragocamelus,Mammalia,Boselaphus,Bovidae,Artiodactyla,180000,21.7
Bubalus bubalis,Mammalia,Bubalus,Bovidae,Artiodactyla,725000,34.9
Bubalus depressicornis,Mammalia,Bubalus,Bovidae,Artiodactyla,155000,36.1
Bubalus quarlesi,Mammalia,Bubalus,Bovidae,Artiodactyla,150000,29.2
Budorcas taxicolor,Mammalia,Budorcas,Bovidae,Artiodactyla,180000,21.9
Capra caucasica,Mammalia,Capra,Bovidae,Artiodactyla,70000,19.3
Capra cylindricornis,Mammalia,Capra,Bovidae,Artiodactyla,50000,20.2
Capra falconeri,Mammalia,Capra,Bovidae,Artiodactyla,41000,19.1
Capra hircus,Mammalia,Capra,Bovidae,Artiodactyla,61000,20.8
Capra ibex,Mammalia,Capra,Bovidae,Artiodactyla,82500,21
Capra nubiana,Mammalia,Capra,Bovidae,Artiodactyla,46250,22.4
Capra sibirica,Mammalia,Capra,Bovidae,Artiodactyla,130000,22.3
Capricornis crispus,Mammalia,Capricornis,Bovidae,Artiodactyla,80000,24
Capricornis sumatraensis,Mammalia,Capricornis,Bovidae,Artiodactyla,95000,18.5
Cephalophus dorsalis,Mammalia,Cephalophus,Bovidae,Artiodactyla,11600,17.5
Cephalophus jentinki,Mammalia,Cephalophus,Bovidae,Artiodactyla,70000.3,21
Cephalophorus natalensis,Mammalia,Cephalophorus,Bovidae,Artiodactyla,10000,15.2
Cephalophorus niger,Mammalia,Cephalophorus,Bovidae,Artiodactyla,18100,14.8
Cephalophorus nigrifrons,Mammalia,Cephalophorus,Bovidae,Artiodactyla,13900,17.9
Cephalophorus rufilatus,Mammalia,Cephalophorus,Bovidae,Artiodactyla,13000,15.2
Cephalophus silvicultor,Mammalia,Cephalophus,Bovidae,Artiodactyla,62000,22.5
Cephalophorus weynsi,Mammalia,Cephalophorus,Bovidae,Artiodactyla,10000,15.2
Connochaetes gnou,Mammalia,Connochaetes,Bovidae,Artiodactyla,132250,21.8
Connochaetes taurinus,Mammalia,Connochaetes,Bovidae,Artiodactyla,164500,24.3
Damaliscus lunatus,Mammalia,Damaliscus,Bovidae,Artiodactyla,110000,35
Damaliscus pygargus,Mammalia,Damaliscus,Bovidae,Artiodactyla,84500,23
Eudorcas rufifrons,Mammalia,Eudorcas,Bovidae,Artiodactyla,15011,14.5
Eudorcas thomsonii,Mammalia,Eudorcas,Bovidae,Artiodactyla,25000,20
Gazella cuvieri,Mammalia,Gazella,Bovidae,Artiodactyla,17500,17.9
Gazella dorcas,Mammalia,Gazella,Bovidae,Artiodactyla,14500,23.7
Gazella gazella,Mammalia,Gazella,Bovidae,Artiodactyla,23250,18.3
Gazella leptoceros,Mammalia,Gazella,Bovidae,Artiodactyla,48500,14.6
Gazella saudiya,Mammalia,Gazella,Bovidae,Artiodactyla,32185.7,21
Gazella subgutturosa,Mammalia,Gazella,Bovidae,Artiodactyla,48500,16.3
Hemitragus hylocrius,Mammalia,Hemitragus,Bovidae,Artiodactyla,75000,17.3
Hemitragus jemlahicus,Mammalia,Hemitragus,Bovidae,Artiodactyla,35200,24
Hippotragus equinus,Mammalia,Hippotragus,Bovidae,Artiodactyla,225000,25.9
Hippotragus niger,Mammalia,Hippotragus,Bovidae,Artiodactyla,225000,22.2
Kobus ellipsiprymnus,Mammalia,Kobus,Bovidae,Artiodactyla,175333,30
Kobus kob,Mammalia,Kobus,Bovidae,Artiodactyla,105000,21.9
Kobus leche,Mammalia,Kobus,Bovidae,Artiodactyla,94800,27
Kobus megaceros,Mammalia,Kobus,Bovidae,Artiodactyla,90000,21.1
Litocranius walleri,Mammalia,Litocranius,Bovidae,Artiodactyla,43500,17.3
Madoqua guentheri,Mammalia,Madoqua,Bovidae,Artiodactyla,4550,17.5
Madoqua kirkii,Mammalia,Madoqua,Bovidae,Artiodactyla,5000,17.3
Naemorhedus baileyi,Mammalia,Naemorhedus,Bovidae,Artiodactyla,28863,19
Naemorhedus caudatus,Mammalia,Naemorhedus,Bovidae,Artiodactyla,27000,20.3
Naemorhedus goral,Mammalia,Naemorhedus,Bovidae,Artiodactyla,31750,17.6
Nanger dama,Mammalia,Nanger,Bovidae,Artiodactyla,73000,19.3
Nanger granti,Mammalia,Nanger,Bovidae,Artiodactyla,67000,23
Nanger soemmerringii,Mammalia,Nanger,Bovidae,Artiodactyla,48500,15.5
Neotragus moschatus,Mammalia,Neotragus,Bovidae,Artiodactyla,6500,13.5
Neotragus pygmaeus,Mammalia,Neotragus,Bovidae,Artiodactyla,2250,11.1
Oreamnos americanus,Mammalia,Oreamnos,Bovidae,Artiodactyla,90000,20.8
Oreotragus oreotragus,Mammalia,Oreotragus,Bovidae,Artiodactyla,12000,25.9
Oryx dammah,Mammalia,Oryx,Bovidae,Artiodactyla,177500,27.5
Oryx gazella,Mammalia,Oryx,Bovidae,Artiodactyla,170000,23.8
Oryx leucoryx,Mammalia,Oryx,Bovidae,Artiodactyla,121350,20.8
Ourebia ourebi,Mammalia,Ourebia,Bovidae,Artiodactyla,17000,15.9
Ovibos moschatus,Mammalia,Ovibos,Bovidae,Artiodactyla,315000,27.4
Ovis ammon,Mammalia,Ovis,Bovidae,Artiodactyla,160000,16.8
Ovis aries,Mammalia,Ovis,Bovidae,Artiodactyla,80000,22.8
Ovis canadensis,Mammalia,Ovis,Bovidae,Artiodactyla,70275,20.6
Ovis dalli,Mammalia,Ovis,Bovidae,Artiodactyla,73100,19.6
Philantomba maxwellii,Mammalia,Philantomba,Bovidae,Artiodactyla,7000,18.3
Philantomba monticola,Mammalia,Philantomba,Bovidae,Artiodactyla,6250,15.9
Procapra gutturosa,Mammalia,Procapra,Bovidae,Artiodactyla,30000,12
Pseudois nayaur,Mammalia,Pseudois,Bovidae,Artiodactyla,55000,20.9
Raphicerus campestris,Mammalia,Raphicerus,Bovidae,Artiodactyla,13000,9.3
Redunca arundinum,Mammalia,Redunca,Bovidae,Artiodactyla,58000,16.8
Redunca fulvorufula,Mammalia,Redunca,Bovidae,Artiodactyla,30000,15
Rupicapra rupicapra,Mammalia,Rupicapra,Bovidae,Artiodactyla,37500,17.6
Sylvicapra grimmia,Mammalia,Sylvicapra,Bovidae,Artiodactyla,18500,15.4
Syncerus caffer,Mammalia,Syncerus,Bovidae,Artiodactyla,700000,32.8
Taurotragus derbianus,Mammalia,Taurotragus,Bovidae,Artiodactyla,680000,20.3
Tragelaphus oryx,Mammalia,Tragelaphus,Bovidae,Artiodactyla,500000,26.1
Tetracerus quadricornis,Mammalia,Tetracerus,Bovidae,Artiodactyla,19000,17.4
Tragelaphus angasii,Mammalia,Tragelaphus,Bovidae,Artiodactyla,120000,23
Tragelaphus eurycerus,Mammalia,Tragelaphus,Bovidae,Artiodactyla,307500,22
