taxon_species,taxon_genus,taxon_family,taxon_order,Maximum longevity (years),generation time (days)
Echinops telfairi,Echinops,Tenrecidae,,19,420
Hemicentetes semispinosus,Hemicentetes,Tenrecidae,,2.7,94
Nesogale dobsoni,Nesogale,Tenrecidae,,5.6,730
Nesogale talazaci,Nesogale,Tenrecidae,,5.8,700
Setifer setosus,Setifer,Tenrecidae,,14.1,252
Tenrec ecaudatus,Tenrec,Tenrecidae,,8.7,240
Antilocapra americana,Antilocapra,Antilocapridae,Artiodactyla,17,782
Addax nasomaculatus,Addax,Bovidae,Artiodactyla,28,1347
Aepyceros melampus,Aepyceros,Bovidae,Artiodactyla,25.6,654
Alcelaphus buselaphus,Alcelaphus,Bovidae,Artiodactyla,22.5,977
Ammotragus lervia,Ammotragus,Bovidae,Artiodactyla,21.7,484
Antidorcas marsupialis,Antidorcas,Bovidae,Artiodactyla,19.8,381
Antilope cervicapra,Antilope,Bovidae,Artiodactyla,23.9,634
Bison bison,Bison,Bovidae,Artiodactyla,33.5,1186
Bison bonasus,Bison,Bovidae,Artiodactyla,26.4,1000
Bos frontalis,Bos,Bovidae,Artiodactyla,26.2,865
Bos grunniens,Bos,Bovidae,Artiodactyla,26.3,1012
Bos javanicus,Bos,Bovidae,Artiodactyla,27.1,1025
Bos taurus,Bos,Bovidae,Artiodactyla,20,825
Boselaphus tragocamelus,Boselaphus,Bovidae,Artiodactyla,21.7,1070
Bubalus bubalis,Bubalus,Bovidae,Artiodactyla,34.9,813
Bubalus depressicornis,Bubalus,Bovidae,Artiodactyla,36.1,1030
Bubalus quarlesi,Bubalus,Bovidae,Artiodactyla,29.2,1050
Budorcas taxicolor,Budorcas,Bovidae,Artiodactyla,21.9,940
Capra caucasica,Capra,Bovidae,Artiodactyla,19.3,1047
Capra cylindricornis,Capra,Bovidae,Artiodactyla,20.2,1180
Capra falconeri,Capra,Bovidae,Artiodactyla,19.1,908
Capra hircus,Capra,Bovidae,Artiodactyla,20.8,561
Capra ibex,Capra,Bovidae,Artiodactyla,21,966
Capra nubiana,Capra,Bovidae,Artiodactyla,22.4,968
Capra sibirica,Capra,Bovidae,Artiodactyla,22.3,972
Capricornis crispus,Capricornis,Bovidae,Artiodactyla,24,1310
Capricornis sumatraensis,Capricornis,Bovidae,Artiodactyla,18.5,1125
Cephalophus dorsalis,Cephalophus,Bovidae,Artiodactyla,17.5,814
Cephalophorus rufilatus,Cephalophorus,Bovidae,Artiodactyla,15.2,500
Connochaetes gnou,Connochaetes,Bovidae,Artiodactyla,21.8,1022
Connochaetes taurinus,Connochaetes,Bovidae,Artiodactyla,24.3,664
Damaliscus lunatus,Damaliscus,Bovidae,Artiodactyla,35,877
Damaliscus pygargus,Damaliscus,Bovidae,Artiodactyla,23,950
Eudorcas rufifrons,Eudorcas,Bovidae,Artiodactyla,14.5,540
Eudorcas thomsonii,Eudorcas,Bovidae,Artiodactyla,20,535
Gazella cuvieri,Gazella,Bovidae,Artiodactyla,17.9,520
Gazella dorcas,Gazella,Bovidae,Artiodactyla,23.7,912
Gazella gazella,Gazella,Bovidae,Artiodactyla,18.3,656
Gazella leptoceros,Gazella,Bovidae,Artiodactyla,14.6,333
Gazella saudiya,Gazella,Bovidae,Artiodactyla,21,655
Gazella subgutturosa,Gazella,Bovidae,Artiodactyla,16.3,821
Hemitragus hylocrius,Hemitragus,Bovidae,Artiodactyla,17.3,857
Hemitragus jemlahicus,Hemitragus,Bovidae,Artiodactyla,24,730
Hippotragus equinus,Hippotragus,Bovidae,Artiodactyla,25.9,1014
Hippotragus niger,Hippotragus,Bovidae,Artiodactyla,22.2,1039
Kobus ellipsiprymnus,Kobus,Bovidae,Artiodactyla,30,1035
