taxID,ncbi_species,RefSeq_assembly,GCF_id,Assembly_name,Organism_name,Infraspecific_name,BioSample,BioProject,Sex,Submitter,Date,Synonyms,Assembly_type,Assembly_level,Genome_coverage,Assembly_method,Expected_final_version,Genome_representation,Sequencing_technology,RefSeq_category,scaffold_N50,contig_N50,total_gap_len,Organism_common_name,Organism_species_name,taxon_superkindom,taxon_kindom,taxon_phylum,taxon_class,taxon_superorder,taxon_order,taxon_family,taxon_genus,taxon_species,synonyms_phy_name,specimen_origin,sample_size,longevity,Ori_Longevity_data,mass,Ori_mass_data,birth_mass,Ori_Birthmass_data,maturity,Ori_FemaleMaturity_data,gestation,Ori_Ges_data,GT,PNGR,tRNA_CPN,busco,genomic_len,A_perc,C_perc,G_perc,T_perc,N_perc,O_perc,gene_num,CDs_len,MLres,GTres,relative_ML,PopulationDensity_n.km2,GR_Area_km2,Estimated_population_size,mammalia_class,TAAI_proteome,p_proteome,TAAI_HEP,p_HEP
9771,Balaenoptera musculus (Blue whale),mBalMus1.pri.v3,GCF_009873245.2,mBalMus1.pri.v3,Balaenoptera musculus (Blue whale),,SAMN12287136,PRJNA554522,male,G10K,2020/10/2,,haploid (principal pseudohaplotype of diploid),Chromosome,51.16x,FALCON v. 1.0.2; FALCON-Unzip v. 1.0.2; purge_haplotigs v. bitbucket 7.10.2018; scaff10x v. git 4.28.2018; Bionano Solve DLS v. 3.2.1; Salsa2 HiC v. 2.0; Arrow polishing and gap filling v. 5.1.0.26412; longranger align v. 2.2.2; freebayes v. 1.2.0; gEVAL manual curation v. 2019-10-25; VGP standard assembly pipeline v. 1.5; Additional Purge_dup and Polish v. 2020-05-28,no,full,PacBio Sequel I; Illumina NovaSeq; 10X Genomics chromium; Dovetail Genomics HiC,Representative Genome,110314666,6315640,25937074,Blue whale,Balaenoptera musculus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,,wild,medium,110,AnAge,1.36E+08,AnAge,2.00E+06,AnAge,1827,AnAge,350,AnAge,2177,73344.28024,414,99,2374868943,29.2051708,20.20477182,20.22720691,29.27070001,1.092150456,0,19336,33615662,1.179344112,0.399110605,2.673434255,NA,NA,NA,aquatic,0.793376494,3.00E-05,0.819722013,9.73E-06
89462,Bubalus bubalis (water buffalo),NDDB_SH_1,GCF_019923935.1,NDDB_SH_1,Bubalus bubalis (water buffalo),breed=Murrah,SAMN11104991,PRJNA525182,female,"National Dairy Development Board, India",2021/9/10,,haploid (principal pseudohaplotype of diploid),Chromosome,572.0x,Falcon+Scaff10X+BioNano v. 2019-02-25,yes,full,PacBio Sequel; 10X and BioNano Optical Map,Representative Genome,116997125,9586610,65900,water buffalo,Bubalus bubalis,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Bubalus,Bubalus arnee,Bubalus bubalis,captivity,medium,34.9,AnAge,725000,AnAge,37500,AnAge,502,AnAge,311,AnAge,813,1369.521912,664,99.4,2622460639,29.14273384,20.87544712,20.86972368,29.10958245,0.002512907,0,21242,35956657,0.864540672,0.454482512,1.615334415,1.06,978657.33,1037376.77,terrestrial,0.751976392,0.000131468,0.747460017,0.000151873
310752,Balaenoptera acutorostrata scammoni (minke whale),BalAcu1.0,GCF_000493695.1,BalAcu1.0,Balaenoptera acutorostrata scammoni (minke whale),,SAMN02192642,PRJNA72723,male,Korea Ocean Research & Development Institute,2013/10/31,balAcu1,haploid,Scaffold,92x,SOAPdenovo v. 16-Mar-2012,no,full,Illumina HiSeq 2000,Representative Genome,12843668,22690,145030652,minke whale,Balaenoptera acutorostrata scammoni,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,,wild,medium,50,AnAge,7500000,AnAge,320000,AnAge,2740,AnAge,312,AnAge,3052,2620.437956,430,96.5,2431687698,27.7815246,19.25149864,19.2484123,27.75436716,5.964197299,0,17580,31049751,0.852264278,1.037230088,0.974289356,NA,NA,NA,aquatic,0.781463941,4.73E-05,0.830446734,5.84E-06
90247,Lagenorhynchus obliquidens (Pacific white-sided dolphin),ASM367639v1,GCF_003676395.1,ASM367639v1,Lagenorhynchus obliquidens (Pacific white-sided dolphin),,SAMN09386610,PRJNA475306,female,Canada's Genomic Enterprise,2018/10/23,,haploid,Scaffold,35.68x,supernova v. 2.1.1,yes,full,Illumina HiSeq,Representative Genome,28371583,255779,10295872,Pacific white-sided dolphin,Lagenorhynchus obliquidens,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Delphinidae,Lagenorhynchus,Lagenorhynchus obliquidens,,captivity,small,46,AnAge,103000,AnAge,14000,AnAge,3832,AnAge,320,AnAge,4152,23.22546973,367,98.5,2334467171,29.26130594,20.55660765,20.54413512,29.19689587,0.441037344,1.81E-05,18008,32384341,1.557105214,3.517237073,0.73291526,NA,NA,NA,aquatic,0.762205073,9.38E-05,0.81891676,1.01E-05
9733,Orcinus orca (killer whale),mOrcOrc1.1,GCF_937001465.1,mOrcOrc1.1,Orcinus orca (killer whale),,SAMEA8800229,PRJEB52131,,WELLCOME SANGER INSTITUTE,2022/5/3,,haploid (principal pseudohaplotype of diploid),Chromosome,34x,,,full,,Representative Genome,114219206,45583382,24436,killer whale,Orcinus orca,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Delphinidae,Orcinus,Orcinus orca,,wild,medium,90,AnAge,3987500,AnAge,180000,AnAge,3780,AnAge,435,AnAge,4215,1007.275132,465,98.9,2647351467,29.11942228,20.96089182,20.9467311,28.97203177,0.000923036,0,19077,34108065,1.697244779,1.63880378,1.419911016,NA,NA,NA,aquatic,0.76784354,7.73E-05,0.810879018,1.45E-05
9915,Bos indicus (zebu cattle),Bos_indicus_1.0,GCF_000247795.1,Bos_indicus_1.0,Bos indicus (zebu cattle),breed=Nelore,SAMN02953802,PRJNA72827,male,Genoa Biotecnologia SA,2014/11/25,,haploid,Chromosome,52x,BWA v. 0.5.9,,full,SOLiD,Representative Genome,106310653,28375,198136445,zebu cattle,Bos indicus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Bos,Bos indicus,,captivity,large,20,AnAge,750000,AnAge,32800,10.2527/1995.7392558x,548,AnAge,277,WorldSpecies,825,1308.759124,560,92.6,2673965444,26.8742274,19.26393507,19.27839999,26.91858811,7.40983566,0.255013767,15313,31630929,0.492758673,0.457872463,0.916864904,NA,NA,NA,terrestrial,0.68427403,0.000875908,0.793667343,2.96E-05
9838,Camelus dromedarius (Arabian camel),CamDro3,GCF_000803125.2,CamDro3,Camelus dromedarius (Arabian camel),breed=African,SAMN03252735,PRJNA269274,female,Vetmeduni Vienna,2019/10/7,,haploid,Chromosome,65.0x,ABySS v. 1.3.6; HiRise v. MAY-2017; PBJelly v. 15.8.24; Pilon v. 1.22; ABySS Sealer v. 2.0.2; HiRise v. MAY-2018; PBJelly v. 15.8.24; BBMAP-CallVariants v. 38.12; ABySS Sealer v. 2.1.0,yes,full,Illumina HiSeq; Dovetail Hi-C and Chicago; PacBio Sequel,Representative Genome,70369702,236391,16984067,Arabian camel,Camelus dromedarius,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,,captivity,medium,28.4,AnAge,434000,AnAge,37000,AnAge,1095,AnAge,405,AnAge,1500,362.5570776,1466,99.3,2169363382,29.00276889,20.5887049,20.59823738,29.02465042,0.785638411,0,19459,33721263,0.763719829,0.935372447,0.880624761,0.98,NA,NA,terrestrial,0.65939071,0.001563275,0.693263521,0.000700913
9755,Physeter catodon (sperm whale),ASM283717v2,GCF_002837175.2,ASM283717v2,Physeter catodon (sperm whale),,SAMN07836523,PRJNA411766,female,BGI,2019/3/8,,haploid,Chromosome,248x,SOAPdenovo v. SEP-2017; ARCS pipeline v. SEP-2017; Supernova v. SEP-2017,,full,BGISEQ-500,Representative Genome,122182240,42542,103431451,sperm whale,Physeter catodon,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Physeteridae,Physeter,Physeter macrocephalus,Physeter catodon,wild,medium,77,AnAge,28500000,AnAge,1.00E+06,AnAge,2922,AnAge,502,AnAge,3424,9411.362081,400,95.3,2512149402,28.08508397,19.83790556,19.84653773,28.11322354,4.117249194,0,19209,32731868,1.060058007,0.875649748,1.391688007,NA,NA,NA,aquatic,0.8219802,8.76E-06,0.837787512,4.03E-06
9940,Ovis aries (sheep),ARS-UI_Ramb_v2.0,GCF_016772045.1,ARS-UI_Ramb_v2.0,Ovis aries (sheep),strain=OAR_USU_Benz2616,SAMN17575729,PRJNA675594,female,University of Idaho,2021/2/3,,haploid,Chromosome,55.0x,Canu v. 1.8; Nanopolish v. 0.12.5; Salsa v. 2.2; PB Jelly v. 15.8.24; Freebayes v. 1.3.1,yes,full,Oxford Nanopore PromethION; PacBio RSII; Illumina HiSeq,Representative Genome,101274418,43178051,42000,sheep,Ovis aries,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Bovidae,Ovis,Ovis aries,,captivity,large,22.8,AnAge,80000,AnAge,2370,AnAge,548,AnAge,146,AnAge,694,141.6605839,603,99.6,2628146905,28.97509757,20.98683658,21.00747656,29.02899121,0.001598084,0,21092,35817099,0.803627024,0.620411629,1.170366788,NA,NA,NA,terrestrial,0.711865669,0.00043078,0.764596459,8.64E-05
30538,Vicugna pacos (alpaca),VicPac3.1,GCF_000164845.3,VicPac3.1,Vicugna pacos (alpaca),,SAMN01096418,PRJNA544883,female,Deakin University,2019/7/15,,haploid,Scaffold,260.0x,"MaSuRCA, Metassembler, DoveTail HiRise v. JUN-17",yes,full,Illumina HiSeq; PacBio RSII; Dovetail genomics,,24022313,29536,88419281,alpaca,Vicugna pacos,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,,captivity,large,25.8,AnAge,62000,AnAge,7210,AnAge,432,AnAge,345,AnAge,777,126.8287037,1291,96,2119617549,28.07864458,19.83869884,19.83623919,28.07494405,4.171473342,0,18314,31454759,0.947220566,0.733365061,1.230043854,NA,NA,NA,terrestrial,0.566256298,0.009245948,0.615331844,0.003878431
