taxID,ncbi_species,RefSeq_assembly,anno_type,GCF_id,Assembly_name,Organism_name,Infraspecific_name,BioSample,BioProject,Sex,Submitter,Date,Synonyms,Assembly_type,Assembly_level,Genome_coverage,Assembly_method,Expected_final_version,Genome_representation,Sequencing_technology,RefSeq_category,scaffold_N50,contig_N50,total_gap_len,Organism_common_name,Organism_species_name,taxon_superkindom,taxon_kindom,taxon_phylum,taxon_class,taxon_superorder,taxon_order,taxon_family,taxon_genus,taxon_species,synonyms_phy_name,specimen_origin,sample_size,longevity,Ori_Longevity_data,mass,Ori_mass_data,birth_mass,Ori_Birthmass_data,maturity,Ori_FemaleMaturity_data,gestation,Ori_Ges_data,GT,PNGR,tRNA_CPN,busco,genomic_len,A_perc,C_perc,G_perc,T_perc,N_perc,O_perc,gene_num,CDs_len,MLres,GTres,relative_ML,PopulationDensity_n.km2,GR_Area_km2,Estimated_population_size,mammalia_class,TAAI_proteome,p_proteome,TAAI_HEP,p_HEP
41426,Phacochoerus africanus (Common warthog),ROS_Pafr_v1,certartiodactyla,GCF_016906955.1,ROS_Pafr_v1,Phacochoerus africanus (Common warthog),,SAMN15809474,PRJNA656957,female,The Roslin Institute,2021/2/19,,haploid,Chromosome,56.0x,FALCON-Unzip v. 1.2.4,yes,full,PacBio Sequel,Representative Genome,141887063,10602503,9510001,Common warthog,Phacochoerus africanus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus,,captivity,large,30,AnAge,1.00E+05,AnAge,660,AnAge,578,AnAge,164,AnAge,742,171.8685121,458,99.3,2435083091,28.88384645,20.88396933,20.89942712,28.94221596,0.390541129,0,20017,34613092,1.020317506,0.632532044,1.474053806,NA,11093470.88,NA,terrestrial,0.71057629,0.000446088,0.776816453,5.62E-05
36723,Mustela erminea (ermine),mMusErm1.Pri,mammals,GCF_009829155.1,mMusErm1.Pri,Mustela erminea (ermine),,SAMN12611999,PRJNA561931,male,Vertebrate Genomes Project,2020/1/3,,haploid (principal pseudohaplotype of diploid),Chromosome,62.86x,FALCON v. DNANexus 1.9.0; FALCON-Unzip v. DNANexus 1.0.6; purge_dups v. 1; scaff10x v. 4.1.0; Bionano Solve DLS v. 3.2.2; Salsa HiC v. 2.2; Arrow smrtanalysis Pacbio polishing & gap filling v. 6.0.0.47841; longranger align v. 2.2.2; freebayes Illumina polishing v. 1.3.1; gEVAL manual curation v. 2019-10-17; VGP assembly pipeline individual v. 1.6,no,full,PacBio Sequel; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,Representative Genome,130149454,36329944,21483976,ermine,Mustela erminea,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Mustela,Mustela erminea,,captivity,small,12.5,AnAge,110.3,AnAge,2.3,AnAge,95,AnAge,43,AnAge,138,1.136842105,383,99.3,2445217270,28.9565131,20.59525741,20.60428123,28.96533612,0.878612149,0,20705,35951354,1.263897964,0.501752019,1.845292966,6.25,39718064.94,248237905.9,terrestrial,0.555179892,0.011052163,0.66139477,0.001494887
61383,Lynx canadensis (Canada lynx),mLynCan4.pri.v2,mammals,GCF_007474595.2,mLynCan4.pri.v2,Lynx canadensis (Canada lynx),,SAMN09948483,PRJNA489107,male,Vertebrate Genomes Project,2020/7/14,,haploid (principal pseudohaplotype of diploid),Chromosome,72.0x,FALCON v. 5.1.1; FALCON-Unzip v. 1.0.2; purge_haplotigs v. bitbucket 7.10.2018; scaff10x v. 2.1; Bionano Solve 2 enzyme v. 3.2.1; Salsa2 v. 2.2; Arrow v. 5.1.0.26412; longranger align v. 2.2.2; freebayes v. 1.2.0; gEVAL manual curation v. 2020-04-03; VGP s,no,full,PacBio Sequel I; 10X genome; Bionano Genomics; Arima Genomics Hi-C,Representative Genome,147275701,7503561,2779342,Canada lynx,Lynx canadensis,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Felidae,Lynx,Lynx canadensis,,captivity,medium,26.8,AnAge,10100,AnAge,204,AnAge,498,AnAge,63,AnAge,561,19.87148594,443,98.4,2407810255,29.0888156,20.81507527,20.83849298,29.14218571,0.115430441,0,19495,33752172,1.315398849,0.779329355,1.581063521,0.05,8252985.31,412649.2655,terrestrial,0.680004842,0.000971142,0.744910964,0.000164545
61384,Lynx rufus (bobcat),mLynRuf1.p,mammals,GCF_022079265.1,mLynRuf1.p,Lynx rufus (bobcat),ecotype=Redwood Valley,SAMN23391104,PRJNA782957,male,UCLA,2022/2/8,,haploid (principal pseudohaplotype of diploid),Scaffold,40x,HiFiasm v. 0.16.1-r375; purge_dups v. 1.2.5; SALSA v. 2.2,yes,full,PacBio Sequel II; Dovetail OmniC; Illumina NovaSeq,Representative Genome,142134035,66217191,2405,bobcat,Lynx rufus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Felidae,Lynx,Lynx rufus,,captivity,medium,32.3,AnAge,8600,AnAge,265,AnAge,365,AnAge,65,AnAge,430,22.83561644,600,99.5,2439239374,29.08645386,20.90256059,20.90139047,29.10949649,9.86E-05,0,19680,34367227,1.626660247,0.618157171,2.267516146,0.1,9702533.02,970253.302,terrestrial,0.7625146,9.28E-05,0.868599644,6.82E-07
46844,Leopardus geoffroyi (Geoffroy's cat),O.geoffroyi_Oge1_pat1.0,mammals,GCF_018350155.1,O.geoffroyi_Oge1_pat1.0,Leopardus geoffroyi (Geoffroy's cat),,SAMN19729386,PRJNA684599,male,Texas A&M University,2021/5/13,,alternate-pseudohaplotype,Chromosome,85.0x,NextDenovo v. 2.2-beta.0,yes,full,PacBio Sequel 2,Representative Genome,152606360,104474415,8500,Geoffroy's cat,Leopardus geoffroyi,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,,captivity,medium,23,AnAge,4000,AnAge,93.2,AnAge,479,AnAge,75,AnAge,554,8.156158664,477,99.7,2426387554,29.10092758,20.87185277,20.88280869,29.14406064,0.000350315,0,19935,35153765,1.309219064,0.937453237,1.368071154,NA,3653843.2,NA,terrestrial,0.754987308,0.000119212,0.855100282,1.56E-06
9644,Ursus arctos (brown bear),UrsArc1.0,mammals,GCF_023065955.1,UrsArc1.0,Ursus arctos (brown bear),ecotype=North America,SAMN25977855,PRJNA807323,male,Washington State University,2022/4/20,,haploid,Scaffold,32.0x,HiFiASM v. September-2021; Juicer v. October-2021,yes,full,PacBio; Illumina,Representative Genome,70076652,43943000,107500,brown bear,Ursus arctos,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Ursidae,Ursus,Ursus arctos,,captivity,large,40,AnAge,277500,AnAge,510,AnAge,1313,AnAge,103,AnAge,1416,210.9596344,516,99.6,2474258672,28.75639936,21.2742832,21.238842,28.7261307,0.004344736,0,20343,35289051,1.155452234,0.971240678,1.287955504,0.02,23972321.42,479446.4284,terrestrial,0.74915387,0.000143923,0.857465273,1.36E-06
9685,Felis catus (domestic cat),F.catus_Fca126_mat1.0,mammals,GCF_018350175.1,F.catus_Fca126_mat1.0,Felis catus (domestic cat),,SAMN19729387,PRJNA684600,female,Texas A&M University,2021/5/13,,haploid (principal pseudohaplotype of diploid),Chromosome,76.0x,NextDenovo v. 2.2-beta.0,yes,full,PacBio Sequel 2,Representative Genome,148491486,90731473,7100,domestic cat,Felis catus,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Felidae,Felis,Felis catus,,captivity,large,30,AnAge,3900,AnAge,97.5,AnAge,289,AnAge,65,AnAge,354,13.15743945,481,99.8,2425747038,29.07972464,20.90421038,20.90996065,29.10581165,0.000292693,0,20246,35825580,1.714608613,0.602261535,2.391714614,3.47,NA,NA,terrestrial,0.725151425,0.000297324,0.833585283,5.00E-06
9627,Vulpes vulpes (red fox),VulVul2.2,mammals,GCF_003160815.1,VulVul2.2,Vulpes vulpes (red fox),strain=TameXAggressive cross,SAMN06553695,PRJNA378561,male,University of Illinois at Urbana-Champaign,2018/5/25,,haploid,Scaffold,93.9x,SOAPdenovo v. 2.04.4,yes,full,Illumina HiSeq,Representative Genome,12472085,55450,71544353,red fox,Vulpes vulpes,Eukaryota,Metazoa,Chordata,Mammalia,Laurasiatheria,Carnivora,Canidae,Vulpes,Vulpes vulpes,,captivity,medium,21.3,AnAge,4131.7,AnAge,100,AnAge,304,AnAge,52,AnAge,356,13.26217105,345,97.4,2421568072,28.58184649,19.92574636,19.93196068,28.59897085,2.961475617,0,18330,32233421,1.206182663,0.598264446,1.691872146,1.1,63034304.34,69337734.77,terrestrial,0.574880718,0.008012652,0.634481212,0.002657105
29139,Vombatus ursinus (common wombat),bare-nosed wombat genome assembly,mammals,GCF_900497805.2,bare-nosed wombat genome assembly,Vombatus ursinus (common wombat),,SAMEA4791334,PRJEB27783,,"MRC Institute of Genetics and Molecular Medicine, University of Edinburgh",2018/12/10,,haploid,Scaffold,87x,,,full,,Representative Genome,28503419,113054,11418107,common wombat,Vombatus ursinus,Eukaryota,Metazoa,Chordata,Mammalia,,Diprotodontia,Vombatidae,Vombatus,Vombatus ursinus,,captivity,small,30,AnAge,25500,AnAge,0.5,AnAge,730,AnAge,27,AnAge,757,34.93082192,466,96.3,3486597218,30.47514862,19.3671964,19.36846021,30.46163266,0.327562098,0,21116,36429981,1.269664302,0.863339174,1.454885399,25.92,308388.6,7993432.512,terrestrial,0.804970792,1.86E-05,0.792169573,3.14E-05
9261,Tachyglossus aculeatus (Australian echidna),mTacAcu1.pri,mammals,GCF_015852505.1,mTacAcu1.pri,Tachyglossus aculeatus (Australian echidna),,SAMN12634963,PRJNA607237,male,Vertebrate Genomes Project,2020/12/9,,haploid (principal pseudohaplotype of diploid),Chromosome,58.29x,FALCON v. falcon-2018.31.08-03.06; FALCON-Unzip v. 6.0.0.47841; purge_dups v. github ca23030ccf4254dfd2d3a5ea90d0eed41c24f88b ca23030ccf4254dfd2d3a5ea90d0eed41c24f88b; Scaff10x v. 4.1.0; Bionano Solve v. 3.2.1_04122018; Salsa2 HiC v. 2.2; Polish pbgcpp v. 1.9.0; Longranger Align v. 2.2.2; freebayes v. 1.3.1; gEVAL manual curation v. 2020-09-17; Manual Curation v. 2020-10-26; VGP assembly pipeline v. 1.6,no,full,PacBio Sequel I CLR; Illumina NovaSeq; Bionano Genomics DLS; Phase Genomics,Representative Genome,63379719,19859057,30817363,Australian echidna,Tachyglossus aculeatus,Eukaryota,Metazoa,Chordata,Mammalia,,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus aculeatus,,captivity,medium,49.5,AnAge,3500,AnAge,0.379,AnAge,548,AnAge,22,AnAge,570,6.386169708,1074,92.1,2213004214,26.96995303,22.33074392,22.34118434,26.96555999,1.392558713,0,18714,32575333,2.878514325,0.992354831,2.890009559,NA,7829490.16,NA,terrestrial,0.789612848,3.47E-05,0.785096473,4.13E-05
